item_id,similar_items,similar_scores
0,4591 6718 11726 13353 8889 2743 14207 2745 5189 715,0.289559 0.279798 0.253971 0.249560 0.236892 0.235277 0.218891 0.212247 0.209491 0.205240
1,14659 3451 8238 11947 11948 3445 4564 9790 12366 12970,0.427679 0.348135 0.345562 0.329874 0.327830 0.289718 0.232592 0.217886 0.216129 0.216035
2,10062 8278 4446 4048 12904 14021 13614 11266 7685 11410,0.426113 0.422507 0.394878 0.380447 0.357764 0.346032 0.339728 0.337346 0.336988 0.336754
3,6890 5693 611 14112 5735 7495 10187 9939 8551 14115,1.000000 0.367507 0.357705 0.340852 0.334134 0.324238 0.321198 0.317302 0.311041 0.285479
4,5724 4222 7412 5972 6029 128 6821 4248 1447 8865,0.630653 0.617492 0.549660 0.471570 0.441999 0.427101 0.404528 0.395226 0.389590 0.373208
5,6128 2597 9484 14035 14676 9430 5634 6003 8617 157,0.557690 0.515994 0.503337 0.499354 0.498026 0.492470 0.491419 0.448296 0.432790 0.419166
6,11825 12582 8596 11268 10524 6111 14123 12814 8491 5554,0.455731 0.392294 0.335410 0.331061 0.329363 0.324828 0.272813 0.268960 0.263894 0.262840
7,12678 2636 12411 12266 11945 11687 3013 14025 14549 14630,0.440305 0.377978 0.372000 0.351970 0.351026 0.313007 0.294623 0.290755 0.285946 0.274908
8,3403 8558 2363 10370 4762 5311 5236 2517 311 6896,0.453464 0.420943 0.348890 0.337193 0.288372 0.286179 0.276222 0.257107 0.255432 0.252595
9,527 1661 7688 2359 4045 1924 9777 12219 1301 10281,0.591626 0.497039 0.478207 0.450526 0.450143 0.401225 0.396182 0.388441 0.361317 0.329742
10,4482 452 10296 2236 660 4966 436 5214 1448 5213,0.479129 0.366771 0.335596 0.320230 0.298434 0.293725 0.278788 0.273023 0.269794 0.269110
11,12288 13432 5327 5254 12964 14 2801 5626 14256 10242,0.394090 0.365062 0.294649 0.286649 0.276378 0.272643 0.257818 0.252644 0.239795 0.238525
12,13 9759 5332 3482 4565 3481 11283 12418 13307 8388,0.409945 0.339122 0.326728 0.324819 0.300870 0.298035 0.282013 0.275660 0.271793 0.268698
13,4565 13307 8095 14684 12 14032 7703 9759 12871 8096,0.525593 0.484918 0.477830 0.422470 0.409945 0.314702 0.293925 0.271419 0.244755 0.240065
14,11947 12104 12315 12319 3482 10456 14916 2801 11688 13399,0.448589 0.441235 0.441235 0.363061 0.348868 0.339181 0.326618 0.326424 0.324540 0.311163
15,13000 9101 14888 5559 3561 8095 14796 8096 13307 14684,0.387374 0.376631 0.357653 0.353365 0.334643 0.329962 0.308419 0.277844 0.270491 0.266100
16,4512 13261 19 20 17 18 6195 2693 10327 1055,0.932602 0.932602 0.932602 0.750051 0.687313 0.398124 0.392128 0.392128 0.392128 0.392128
17,20 19 13261 4512 16 18 1583 8404 10327 1055,0.840413 0.730301 0.730301 0.730301 0.687313 0.484589 0.473010 0.471397 0.375937 0.375937
18,8404 20 17 1583 16 19 4512 13261 1081 3295,0.929016 0.528821 0.484589 0.445053 0.398124 0.385302 0.385302 0.385302 0.379226 0.361679
19,13261 4512 16 20 17 2693 1055 10327 6195 3454,1.000000 1.000000 0.932602 0.796962 0.730301 0.478804 0.478804 0.478804 0.478804 0.469787
